s_id,name,geom,status,func,url,address,end_year
metro_station-11,"""Говорово""",POINT (37.413596176977 55.659677108274),construction,metro,https://stroi.mos.ru/metro/station/11,"Россия, Москва, Боровское шоссе",
construction-2241,Кинотеатр «Орбита»,POINT (37.671633 55.676504),designed,cinema,https://stroi.mos.ru/construction/2241,пересечение проспекта Андропова и ул. Новинки,2020
metro_station-73,"""Стромынка""",POINT (37.67899 55.790443),designed,metro,https://stroi.mos.ru/metro/station/73,"Россия, Москва, Сокольническая площадь",
construction-2121,ТПУ «Лефортово»,POINT (37.706667 55.765514),designed,tpu,https://stroi.mos.ru/construction/2121,ул. Наличная,2020
construction-2157,ТПУ «Тропарево»,POINT (37.473800210976 55.645958679465),designed,tpu,https://stroi.mos.ru/construction/2157,,2022
construction-2164,ТПУ «Фонвизинская»,POINT (37.592033 55.82135),designed,tpu,https://stroi.mos.ru/construction/2164,ул. Милашенкова,2020
construction-2171,ТПУ «Хорошевская»,POINT (37.522666454315 55.777774408342),designed,tpu,https://stroi.mos.ru/construction/2171,расположен на пересечении улиц Куусинена и 4-й Магистральной с Хорошевским шоссе,2022
construction-2138,ТПУ Петровско-Разумовская,POINT (37.573762 55.835392),designed,tpu,https://stroi.mos.ru/construction/2138,расположится у одноименной станции метро Люблинско-Дмитровской линии,2022
construction-2119,ТПУ «Лермонтовский проспект» (Косино),POINT (37.854817 55.701915),designed,tpu,https://stroi.mos.ru/construction/2119,рядом со станцией метро «Лермонтовский проспект»,
metro_station-78,"""Столбово""",POINT (37.465892 55.57833),designed,metro,https://stroi.mos.ru/metro/station/78,"Россия, Москва, поселение Сосенское",
construction-2234,Кинотеатр «Ангара»,POINT (37.612389 55.651379),designed,cinema,https://stroi.mos.ru/construction/2234,"Чонгарский бульвар, д. 7",2019
construction-2145,ТПУ «Рязанская»,POINT (37.727162 55.732558),designed,tpu,https://stroi.mos.ru/construction/2145,,2019
road-5,Молодогвардейская развязка,POINT (37.375214378368 55.731616703309),operation,road,https://stroi.mos.ru/road/interchange/5,"Россия, Москва, Молодогвардейская улица",
road-12,Развязка с Ленинградским шоссе,POINT (37.445289800426 55.881412583299),operation,road,https://stroi.mos.ru/road/interchange/12,"Россия, Москва, Ленинградское шоссе",
construction-1597,Жилой дом,POINT (37.444609365466 55.844014955532),construction,house,https://stroi.mos.ru/construction/1597,"ул. Фабрициуса, вл. 18, стр. 1",2017
construction-1910,Стартовые площадки,POINT (37.506047 55.670904),designed,renov-1719,https://stroi.mos.ru/construction/1910,"Проспект Вернадского, кв. 32, 33, корп. 12А, проспект Вернадского, д.69",2017
construction-1927,Стартовые площадки,POINT (37.543300813902 55.87026259518),designed,renov-2023,https://stroi.mos.ru/construction/1927,"район Бескудниковский, кв. 8, 9, корп.20",2021
construction-1864,Стартовая площадка реновации,POINT (37.560404 55.862424),designed,renov-1719,https://stroi.mos.ru/construction/1864,"Бескудниковский бульвар, д. 11, к. 1",2017
construction-1869,Стартовая площадка реновации,POINT (37.559847 55.858529),designed,renov-1719,https://stroi.mos.ru/construction/1869,"Дмитровское шоссе, дом 68",2017
construction-1977,Стартовые площадки,POINT (37.763842233805 55.744012436217),designed,renov-2023,https://stroi.mos.ru/construction/1977,"Плеханова ул., вл. 18",2021
construction-1888,Стартовые площадки,POINT (37.822921182873 55.811012947478),designed,renov-1719,https://stroi.mos.ru/construction/1888,"Северное Измайлово, мкр. 80 (Щелковское шоссе между д. 90 и д. 92, корп. 2)",2019
construction-1883,Стартовые площадки,POINT (37.529524201378 55.939366767233),designed,renov-1719,https://stroi.mos.ru/construction/1883,"Дмитровское шоссе, вл. 167, корп. 9А (2 очередь)",2019
construction-1915,Стартовые площадки,POINT (37.494910740114 55.673450205779),designed,renov-1719,https://stroi.mos.ru/construction/1915,"Проспект Вернадского, кв.34, 35, корп. 26",2019
construction-1876,Стартовые площадки,POINT (37.67749 55.876026),designed,renov-1719,https://stroi.mos.ru/construction/1876,"ул. Летчика Бабушкина, вл. 41",2019
construction-1871,Стартовая площадка реновации,POINT (37.539401324575 55.893337867585),designed,renov-1719,https://stroi.mos.ru/construction/1871,"Долгопрудная ул., д. 7",2019
construction-1908,Стартовые площадки,POINT (37.458140721375 55.7054311558),designed,renov-1719,https://stroi.mos.ru/construction/1908,"район Очаково-Матвеевское, Аминьевское шоссе (между Аминьевским шоссе и Нежинской ул.)",2019
construction-1895,Стартовые площадки,POINT (37.667546 55.679494),designed,renov-1719,https://stroi.mos.ru/construction/1895,"ул. Судостроительная, вл. 5 (3), корп. 1",2019
construction-1946,Стартовые площадки,POINT (37.585632526883 55.812657807263),designed,renov-2023,https://stroi.mos.ru/construction/1946,"ул. Руставели, вл. 3, корп. 4",2021
construction-1934,Стартовые площадки,POINT (37.511770904237 55.854850075507),designed,renov-2023,https://stroi.mos.ru/construction/1934,"Онежская ул., вл. 35, корп. 6",2021
construction-1903,Стартовые площадки,POINT (37.609376060145 55.679081568311),designed,renov-1719,https://stroi.mos.ru/construction/1903,"Нагорная ул., вл. 13, корп. 2,  3",2019
construction-1941,Стартовые площадки,POINT (37.514628253212 55.869912098641),designed,renov-2023,https://stroi.mos.ru/construction/1941,"ул. Талдомская, вл.1",2021
construction-1939,Стартовые площадки,POINT (37.521189218177 55.87849575553),designed,renov-2023,https://stroi.mos.ru/construction/1939,"Ангарская ул., д. 33",2021
construction-1953,Стартовые площадки,POINT (37.615366949321 55.796777375834),designed,renov-2023,https://stroi.mos.ru/construction/1953,"Шереметьевская ул., вл. 13, корп.1",2021
construction-1991,Стартовые площадки,POINT (37.765619206806 55.712228279158),designed,renov-2023,https://stroi.mos.ru/construction/1991,"ул. Жигулевская, вл. 3",2021
construction-1960,Стартовые площадки,POINT (37.695977929322 55.815696047515),designed,renov-2023,https://stroi.mos.ru/construction/1960,"Миллионная ул., вл .3",2021
construction-1996,Стартовые площадки,POINT (37.712126 55.763436),designed,renov-2023,https://stroi.mos.ru/construction/1996,"район Лефортово, кв. 3, корп. 6",2021
construction-1965,Стартовые площадки,POINT (37.827840397206 55.79984633157),designed,renov-2023,https://stroi.mos.ru/construction/1965,"16-я Парковая ул., вл. 12",2021
construction-1972,Стартовые площадки,POINT (37.857236659757 55.714207699464),designed,renov-2023,https://stroi.mos.ru/construction/1972,"Оренбургская ул., д. 3",2021
construction-1958,Стартовые площадки,POINT (37.652974930024 55.850832525005),designed,renov-2023,https://stroi.mos.ru/construction/1958,"проезд Нансена, вл. 8",2021
construction-1890,Стартовые площадки,POINT (37.737031021742 55.73964445572),designed,renov-1719,https://stroi.mos.ru/construction/1890,"шоссе Фрезер, д. 7/2",2019
construction-2019,Стартовые площадки,POINT (37.651940043661 55.635822517345),designed,renov-2023,https://stroi.mos.ru/construction/2019,"ул. Бехтерева, вл.3, з/у1 (мкр. 4, корп. 402)",2021
construction-1989,Стартовые площадки,POINT (37.77807701999 55.706436498677),designed,renov-2023,https://stroi.mos.ru/construction/1989,"кв. 116, корп. 2 (Шумилова ул., д. 16, корп. 2)",2021
construction-2021,Стартовые площадки,POINT (37.653039663406 55.628413437579),designed,renov-2023,https://stroi.mos.ru/construction/2021,"Кавказский бульвар, вл. 40-42",2021
construction-2014,Стартовые площадки,POINT (37.650864 55.68704),designed,renov-2023,https://stroi.mos.ru/construction/2014,"Проектируемый проезд 4062, д. 8",2021
construction-2007,Стартовые площадки,POINT (37.674097917003 55.580543585721),designed,renov-2023,https://stroi.mos.ru/construction/2007,"мкр. Загорье, напротив вл.2",2021
construction-2026,Стартовые площадки,POINT (37.601826715413 55.591831090554),designed,renov-2023,https://stroi.mos.ru/construction/2026,"Чертаново-Южное, мкр.26, корп. 81-82",2021
construction-2002,Стартовые площадки,POINT (37.75046 55.667498),designed,renov-2023,https://stroi.mos.ru/construction/2002,"мкр. Ж, ул. Верхние поля, д.19, корп. 2",2021
construction-2064,Стартовые площадки,POINT (37.379559655373 55.851486355585),designed,renov-2023,https://stroi.mos.ru/construction/2064,"район Новобратцево, Парковая ул., вл. 31 (напротив)",2021
construction-2040,Стартовые площадки,POINT (37.569753686567 55.652977677228),designed,renov-2023,https://stroi.mos.ru/construction/2040,"кв. 40, Севастопольский проспект, вл. 79",2021
construction-2038,Стартовые площадки,POINT (37.575800617446 55.64927385184),designed,renov-2023,https://stroi.mos.ru/construction/2038,"кв. 42, Керченская ул., вл. 26",2021
construction-2033,Стартовые площадки,POINT (37.592879847745 55.65597516422),designed,renov-2023,https://stroi.mos.ru/construction/2033,"район Зюзино, кв. 14, корп. 3",2021
construction-2095,Стартовые площадки,POINT (37.758849547924 55.700009377731),designed,renov-2023,https://stroi.mos.ru/construction/2095,"мкр. 113, ул. Юных Ленинцев, вл. 42",2021
construction-2069,Стартовые площадки,POINT (37.489485545528 55.779695075337),designed,renov-2023,https://stroi.mos.ru/construction/2069,"ул. Демьяна Бедного, вл. 22",2021
