geom,CommonName,global_id,FullName
"MULTIPOINT (37.425340350954 55.734324023696, 37.353934664214 55.790116559433, 37.417919554318 55.744737091766, 37.416964810862 55.730423157719, 37.40764083074 55.738550630543)",Культурный центр «Рублево»,638230719,Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Рублево»
"MULTIPOINT (37.412938614021 55.764013315618, 37.443628077751 55.72314182102, 37.446455957839 55.716688046406, 37.418118584313 55.749892029914, 37.419352890719 55.748935721834, 37.400826851875 55.707026094901, 37.391996163481 55.710701973251, 37.391011103547 55.716185597351, 37.410866416592 55.770060246455, 37.422324182395 55.718955431237, 37.416581742062 55.764121555583, 37.390212739087 55.719667726227)",Территориальная клубная система «Кунцево»,638230720,Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Кунцево»
MULTIPOINT (37.645517597266 55.852155518775),Клуб «Молодежный»,638376284,Государственное бюджетное учреждение культуры города Москвы «Клуб «Молодежный»
"MULTIPOINT (37.686570350578 55.73729939161, 37.684170139258 55.732674677211, 37.673836897159 55.731569124856)",Дом культуры «Стимул»,638376285,Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Стимул»
"MULTIPOINT (37.405752277129 55.807768399456, 37.401259753549 55.818122030323, 37.404496192991 55.811886038231, 37.404895676243 55.795852381993, 37.406698595293 55.810172977683, 37.394513620957 55.814469386668)",Клуб «Современник»,638376288,Государственное бюджетное учреждение культуры города Москвы «Клуб «Современник»
"MULTIPOINT (37.655946236818 55.759758337007, 37.6559869573 55.759133071742, 37.65237544658 55.759004949201, 37.656094087086 55.759850895345, 37.589903305603 55.790237676724, 37.656064630095 55.758360159278)",Дом культуры «Гайдаровец»,638398642,Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Гайдаровец»
"MULTIPOINT (37.518344019522 55.737509476084, 37.515734843242 55.738900440717, 37.522017845162 55.736521345134, 37.498236077865 55.741357624532, 37.51976929099 55.739058311578, 37.516321640567 55.737356053446)",Дом культуры «Аструм»,638445169,Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Аструм»
"MULTIPOINT (37.624067507454 55.82263061729, 37.589956041287 55.891695639854)",Дом культуры «Темп»,638445170,Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Темп»
"MULTIPOINT (37.741190774834 55.803560395521, 36.92036227424 55.479916591249)",Дворец культуры и спорта «Яковлевское»,638445171,Государственное бюджетное учреждение культуры города Москвы «Дворец культуры и спорта «Яковлевское»
"MULTIPOINT (37.153663305502 55.989616418898, 37.146716751688 55.986405191804, 37.174996763326 55.984616946518, 37.151503372561 55.986140512773, 37.170649836778 55.989412927289, 37.220163384243 55.98973556656)",Культурный центр «Зеленоград»,638445172,Государственное автономное учреждение культуры города Москвы «Культурный центр «Зеленоград»
"MULTIPOINT (37.451785768839 55.77980839245, 37.47955127694 55.771911907282, 37.478377173646 55.772212617656, 37.476362075222 55.770129048063)",Дом культуры «Берендей»,832640555,Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Берендей»
"MULTIPOINT (37.749298166554 55.731238718267, 37.748322394401 55.674295828478, 37.781850566986 55.720775058556, 37.787576363459 55.722155244047, 37.805498007306 55.675258590479)",Территориальная клубная система «Спутник»,832656062,Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Спутник»
"MULTIPOINT (37.480608540611 55.736913017969, 37.432319192875 55.74101400214, 37.457523078178 55.713189946803, 37.464891442163 55.738285685072)",Территориальная клубная система «Фили-Давыдково»,846542426,Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Фили-Давыдково»
"MULTIPOINT (37.631263398521 55.662155421937, 37.668170599886 55.646177137838)",Культурный центр «Москворечье»,870507233,Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Москворечье»
