geometry/coordinates/0,geometry/coordinates/1,geometry/type,properties/DatasetId,properties/VersionNumber,properties/ReleaseNumber,properties/RowId,properties/Attributes/Name,properties/Attributes/global_id,properties/Attributes/AdmArea,properties/Attributes/District,properties/Attributes/DescriptionLocation,properties/Attributes/Address,properties/Attributes/EventDate,properties/Attributes/TIME,properties/Attributes/PaymentInfo,type
37.677089279762214,55.79878299996836,Point,2249,1,25,,Шахматно-шашечный клуб,837584565,Восточный административный округ,район Сокольники,ГАУК г. Москвы «Парк культуры и отдыха «Сокольники»,"6-й Лучевой просек, дом 3",Круглогодично,С 10:00 до 22:00,Платно,Feature
37.46905443585821,55.85364163144725,Point,2249,1,25,,Детская площадка,841874022,Северный административный округ,район Левобережный,"Парк «Северного речного вокзала», на территории парка","Ленинградское шоссе, дом 51",Круглогодично,с 06:00 до 24:00,Бесплатно,Feature
37.56259713491788,55.86932065425835,Point,2249,1,25,,Студия «Ансамбль акустических гитар»,861098107,Северный административный округ,район Восточное Дегунино,"ГБУК г. Москвы «ЦБС САО», Библиотека № 37","улица Дубнинская, дом 16, корпус 1","Вторник, суббота",с 17:00 до 18:20; с 12:00 до 13:20,Платно,Feature
37.59772334722121,55.74364075574205,Point,2249,1,25,,Абонемент «Литературная гостиная»,840252314,Центральный административный округ,район Хамовники,ГБУК г. Москвы «Государственный музей А.С. Пушкина»,"улица Пречистенка, дом 12/2, Основное здание, вход со стороны Хрущевского переулка","По воскресеньям, с октября по апрель.",В 13:00,Платная форма посещения по экскурсионным путёвкам,Feature
37.759389,55.824046,Point,2249,1,25,,Библиотека,840241664,Восточный административный округ,район Метрогородок,"ГБУК г.Москвы «ЦБС ВАО», Библиотека № 75 им. А.С. Серафимовича","Открытое шоссе, дом 24, корпус 13",круглогодично,12.00-20.00,свободная,Feature
37.66615155686894,55.73855024934835,Point,2249,1,25,,Физкультурно-оздоровительный комплекс,837584662,Центральный административный округ,Таганский район,ГАУК г. Москвы ПКиО «Таганский»,"улица Таганская, дом 36, строение 3, Основная территория (слева от входа со стороны Тихого тупика)",Круглогодично,С 07.00 до 23.00,По билетам,Feature
37.396506,55.651247,Point,2249,1,25,,"«Сила голоса» Студия эстрадного вокала. Пение – это процесс, в который вовлечены такие жизненно важные функции организма, как дыхание, сердечный ритм, эмоциональные переживания и др. Возраст: от 5 до 16 лет.",841846255,Западный административный округ,район Солнцево,"ГБУК г. Москвы «Объединение «ВЗ Москвы», Арт-Центр «Солнцево»","улица Богданова, дом 44",Сентябрь-май,"Понедельник, среда с 13:00 до 19:00",Платная,Feature
37.600891,55.756928,Point,2249,1,25,,"В ГОСТЯХ У ОПЕРНОЙ СКАЗКИ, спектакль для детей.",861098117,Центральный административный округ,Пресненский район,ГБУК г. Москвы «ММТ «Геликон-опера» под руководством Дмитрия Бертмана,"улица Большая Никитская, дом 19/16, строение 1",Ежемесячно по субботам,с 14:00,"Платно, по билетам",Feature
37.668974,55.769054,Point,2249,1,25,,Экскурсия «Во вкусе умной старины…» (Интерьер старинного дворянского дома и его убранства) для родителей с детьми.,840236728,Центральный административный округ,Басманный район,"ГБУК г. Москвы «Государственный музей А.С. Пушкина», филиал «Дом-музей В.Л. Пушкина на Старой Басманной»","улица Старая Басманная, дом 36",Выходные дни,С 10:00 до 18:00,Платная форма посещения по экскурсионным путёвкам,Feature
37.587577644180094,55.8675596233894,Point,2249,1,25,,"Студия живописи. На занятиях дети и взрослые изучают основы рисунка, живописи и композиции.",840238311,Юго-Восточный административный округ,район Отрадное,"ГБУК Г. Москвы «ЦБС СВАО», Библиотека № 56","Алтуфьевское шоссе, дом 34А",По четвергам и субботам,С 18:30 до 20:30,Бесплатно,Feature
