"id";"tag";"geom";"data_source"
"164";"sauna";"POINT (37.5436549 55.7890255)";"OpenStreetMap"
"165";"playground";"POINT (38.2641418 55.8275011)";"OpenStreetMap"
"166";"playground";"POINT (37.4971901 55.747155)";"OpenStreetMap"
"167";"playground";"POINT (37.4992001 55.7469719)";"OpenStreetMap"
"168";"playground";"POINT (37.3660076 55.7045923)";"OpenStreetMap"
"169";"sports_centre";"POINT (38.2705525 55.8330117)";"OpenStreetMap"
"170";"fitness_centre";"POINT (37.5980701 55.7401337)";"OpenStreetMap"
"171";"playground";"POINT (37.4587513 55.7887138)";"OpenStreetMap"
"172";"playground";"POINT (37.4525715 55.7888224)";"OpenStreetMap"
"173";"playground";"POINT (37.4603386 55.7890157)";"OpenStreetMap"
"174";"sports_centre";"POINT (38.1202253 55.6028649)";"OpenStreetMap"
"175";"sports_centre";"POINT (38.1205552 55.6027329)";"OpenStreetMap"
"176";"fitness_centre";"POINT (37.3415515 55.821249)";"OpenStreetMap"
"177";"playground";"POINT (37.0087138 55.6420524)";"OpenStreetMap"
"178";"playground";"POINT (38.0924993 55.6006733)";"OpenStreetMap"
"179";"playground";"POINT (38.10616 55.6021782)";"OpenStreetMap"
"180";"sauna";"POINT (37.496623 55.8040752)";"OpenStreetMap"
"181";"sports_centre";"POINT (38.1468528 55.5831057)";"OpenStreetMap"
"182";"playground";"POINT (38.1173782 55.5952422)";"OpenStreetMap"
"183";"playground";"POINT (38.1169463 55.5997289)";"OpenStreetMap"
"184";"playground";"POINT (38.1166832 55.60005)";"OpenStreetMap"
"185";"playground";"POINT (37.4590752 55.7850989)";"OpenStreetMap"
"186";"playground";"POINT (37.4682267 55.7868635)";"OpenStreetMap"
"187";"playground";"POINT (37.9051763 55.9756651)";"OpenStreetMap"
"188";"playground";"POINT (37.5013052 55.6934535)";"OpenStreetMap"
"189";"playground";"POINT (37.5007125 55.6923923)";"OpenStreetMap"
"190";"playground";"POINT (37.4931065 55.6928035)";"OpenStreetMap"
"191";"sports_centre";"POINT (38.0682605 55.6241474)";"OpenStreetMap"
"192";"playground";"POINT (37.4022109 55.8992559)";"OpenStreetMap"
"193";"playground";"POINT (37.4554097 55.8370627)";"OpenStreetMap"
"194";"swimming_pool";"POINT (37.0372559 55.6006933)";"OpenStreetMap"
"195";"playground";"POINT (37.4337083 55.861432)";"OpenStreetMap"
"196";"playground";"POINT (38.0968348 55.602835)";"OpenStreetMap"
"197";"playground";"POINT (38.0916027 55.6032583)";"OpenStreetMap"
"198";"playground";"POINT (38.0998595 55.6027205)";"OpenStreetMap"
"199";"playground";"POINT (38.0928087 55.6042157)";"OpenStreetMap"
"200";"playground";"POINT (38.0908872 55.6035665)";"OpenStreetMap"
"201";"playground";"POINT (38.0965781 55.6021782)";"OpenStreetMap"
"202";"playground";"POINT (38.0917537 55.6018295)";"OpenStreetMap"
"203";"playground";"POINT (38.0919026 55.6044978)";"OpenStreetMap"
"204";"playground";"POINT (38.0983213 55.6024807)";"OpenStreetMap"
"205";"playground";"POINT (37.4571203 55.7875465)";"OpenStreetMap"
"206";"playground";"POINT (37.6285322 55.7316984)";"OpenStreetMap"
"207";"swimming_pool";"POINT (37.7719971 55.759933)";"OpenStreetMap"
"208";"swimming_pool";"POINT (37.7756449 55.7539562)";"OpenStreetMap"
"209";"playground";"POINT (37.4872188 55.6214905)";"OpenStreetMap"
"210";"playground";"POINT (37.8778431 55.6803012)";"OpenStreetMap"
"211";"sports_centre";"POINT (37.8780792 55.6801681)";"OpenStreetMap"
"212";"fitness_station";"POINT (37.2082584 55.9804332)";"OpenStreetMap"
"213";"sports_centre";"POINT (37.617126 55.7365753)";"OpenStreetMap"
"214";"playground";"POINT (37.6685074 55.7557746)";"OpenStreetMap"
