Address,Id,IsLocked,Geom,TotalPlaces,TotalOrdinaryPlaces,TotalElectricPlaces,FreeOrdinaryPlaces,FreeElectricPlaces
"ул. Стромынка, д.13 (пересеч. с ул. Короленко)",0491,False,POINT (37.6944615 55.7940252),15,15,0,7,0
"ул. Маленковская, д.25",0488,False,POINT (37.6759952 55.7865463),15,15,0,8,0
"ул. Стромынка, д.20 (Технологический университет)",0492,False,POINT (37.6994467 55.7943402),21,21,0,4,0
"пр-т Мира, д.102, к.2",0434,False,POINT (37.6363469 55.8016402),18,18,0,4,0
"пр-т Мира, д.114Б, стр.2 (ст. м. Алексеевская)",0435,False,POINT (37.6376553 55.807908),24,24,0,21,0
"ул. Люсиновская, д.48/50, к.10 (пересеч. с ул. Павла Андреева)",0262,False,POINT (37.6220242 55.7209237),12,12,0,10,0
"4-й Добрынинский пер., д.2/10",0261,False,POINT (37.6197354 55.7273527),12,12,0,1,0
"3-я Рыбинская ул., д.30",0477,False,POINT (37.663779 55.7888271),9,9,0,0,0
"ул. Усиевича, д.12-14",0526,False,POINT (37.528 55.80559),15,15,0,10,0
"ул. Черняховского, д.15/2, к.1",0527,False,POINT (37.53773 55.80669),15,15,0,8,0
"ул. Маломосковская, д.22, стр.1",0438,False,POINT (37.6531 55.81177),15,15,0,11,0
"Покровский б-р (напротив д.8, стр.1)",0019,False,POINT (37.647211 55.757313),8,8,0,5,0
"Камергерский пер., д.4",0030,False,POINT (37.612442 55.759361),14,14,0,8,0
"ул. Островитянова, д.29/120 (ст. м. Коньково, выход №8)",0386,False,POINT (37.520142 55.6345077),12,12,0,9,0
"ул. Новослободская, д.11, стр.1",0406,False,POINT (37.6002618 55.7798721),12,12,0,9,0
"Краснопресненская наб., д.10, стр.5",0226,False,POINT (37.5605165 55.7540692),21,21,0,4,0
"ул. Земляной Вал, д.14/16, стр.1",0138,False,POINT (37.6571565 55.7610338),18,18,0,4,0
"Бережковская наб., д.20, стр.19",0243,False,POINT (37.5517684 55.7331476),36,12,24,6,7
"Краснопресненская наб., д.14, стр.1",0224,False,POINT (37.5465367 55.748965),21,21,0,11,0
"Зубовская пл., д.3, стр.1",0102,False,POINT (37.5861519 55.7383154),24,24,0,11,0
ул. Большая Никитская (напротив д.13),0027,False,POINT (37.6046504 55.7566653),12,12,0,6,0
"ул. Большая Якиманка, д.16 (ст. м. Октябрьская (радиальная))",0059,False,POINT (37.612528 55.730772),30,30,0,14,0
ул. Садовая-Спасская (напротив д.26),0128,False,POINT (37.6429131 55.7703931),18,18,0,8,0
"ул. Малая Грузинская, д.41",0230,False,POINT (37.5730793 55.7724736),12,12,0,10,0
"ул. Старая Басманная, д.21/4, стр.1",0458,False,POINT (37.6641747 55.7671544),12,12,0,8,0
"ул. Красная Пресня, д.31",0221,False,POINT (37.563289 55.762772),36,12,24,11,23
Столешников пер. (напротив д.11),0033,False,POINT (37.61731 55.763407),10,10,0,7,0
"ул. Мантулинская, д.5, стр.21",0223,False,POINT (37.55125 55.755955),12,12,0,1,0
"ул. Мантулинская, д.2",0222,False,POINT (37.558939 55.75685),12,12,0,0,0
"Варшавское ш., д.100",0388,False,POINT (37.6192664 55.6452564),12,12,0,3,0
