code,arrivals,average,departures,dayscount_total,geom,slots,name,unique_clients,unique_rides,roundtrips
210,9350,57,8666,153,POINT (37.569522 55.712558),34,Лужнецкая наб. (пересеч. с Новолужнецким пр.),4474,52,27
211,10940,61,9222,152,POINT (37.560011 55.711594),48,ст.м.Воробьёвы горы (Лужники),4596,50,31
212,10971,68,10279,152,POINT (37.547253 55.726989),34,"Лужнецкая наб. (напротив д.24, стр.33)",4828,47,25
213,1746,12,1649,139,POINT (37.559608 55.726908),12,ул. Большая Пироговская (на площади Новодевичьего Монастыря),968,59,22
214,1924,13,1948,153,POINT (37.569297 55.731139),12,"ул. Большая Пироговская, д.2, стр.4",565,29,19
215,3448,23,3451,152,POINT (37.575489 55.733867),21,"ул. Большая Пироговская (напротив д.15/18, стр.1)",1125,33,31
216,2325,16,2411,152,POINT (37.581356 55.736464),12,ул. Большая Пироговская (напротив д.6/25),801,33,28
217,1754,13,1851,148,POINT (37.577028 55.730711),12,"ул. Усачева, д.2, стр.1",635,34,23
218,4906,31,4685,153,POINT (37.580778 55.726481),24,"Комсомольский пр-т (напротив д.28, ст.м.Фрунзенская)",2081,44,21
219,1527,9,1387,150,POINT (37.570481 55.719322),12,"Комсомольский пр-т (дублер, напротив д.48/22)",569,41,31
220,5346,36,5524,153,POINT (37.5772 55.760688),12,"ул. Красная Пресня, д.1",2194,40,23
221,4059,30,4567,153,POINT (37.56359 55.762431),12,"ул. Красная Пресня, д.31",1687,37,20
222,2936,18,2716,152,POINT (37.559078 55.756869),12,"ул. Мантулинская, д.2",1023,38,18
223,4045,25,3749,151,POINT (37.551319 55.756097),12,"ул. Мантулинская, д.5, стр.21",1316,35,35
224,3000,19,2865,151,POINT (37.546129 55.748805),12,"Краснопресненская наб., д.14, стр.1",1622,57,24
225,1065,6,940,146,POINT (37.551733 55.751661),12,"Краснопресненская наб., вл.5 (усадьба Студенец)",620,66,27
226,3306,21,3172,152,POINT (37.559449 55.754196),12,"Краснопресненская наб., д.12А",1831,58,25
227,2899,18,2791,153,POINT (37.543647 55.747917),12,"Краснопресненская наб., д.16, стр.1",1340,48,21
228,1830,14,1702,121,POINT (37.545641 55.75749),12,"Шмитовский пр., д.16, стр.2",459,27,30
229,1196,12,1508,121,POINT (37.552939 55.764236),12,"Звенигородское ш., д.7",468,31,17
231,2971,26,3151,119,POINT (37.583 55.7771),12,"пл. Тверская Застава, д.7",1216,39,19
232,3541,24,3635,153,POINT (37.585931 55.773158),12,"ул. 2-я Брестская, д.31",1320,36,23
233,2204,17,2537,153,POINT (37.587989 55.767778),12,"ул. Гашека, д.2, стр.1",782,31,21
234,3062,21,3145,153,POINT (37.582292 55.770222),12,"ул. Большая Грузинская, д.39",1064,34,21
235,2376,16,2412,152,POINT (37.576593 55.761028),12,"ул. Большая Грузинская, д.1, стр.2",1204,50,23
236,2166,20,2235,113,POINT (37.572071 55.765613),12,"ул. Малая Грузинская, д.19/2",462,21,21
237,1752,15,1862,128,POINT (37.565552 55.769445),12,"ул. Пресненский Вал, д.24",530,28,25
238,3215,25,3869,153,POINT (37.561297 55.763789),12,"ул. 1905 года, д.4, стр.2",1204,31,17
