code;arrivals;average;departures;dayscount_total;geom;slots;name;unique_clients;unique_rides;roundtrips;arr_p_dep;dep_per_days;av_p_dep__per_days
59;2519;16;2445;151;POINT (37.646175 55.740822);12;Котельническая наб., д.33, стр. 1;1576;64;30;4964;16,19205298;32,87417219
60;1494;15;1463;97;POINT (37.608656 55.757438);12;Газетный пер., д.6;750;51;11;2957;15,08247423;30,48453608
70;3152;20;3002;152;POINT (37.620228 55.742928);12;Лаврушинский пер. (напротив д.4, стр.1);1772;59;26;6154;19,75;40,48684211
71;3080;24;2928;122;POINT (37.616029 55.73895);12;ул. Большая Якиманка (напротив д.18);1684;58;16;6008;24;49,24590164
72;4802;30;4629;153;POINT (37.612528 55.730772);20;ул. Большая Якиманка, д.16 (ст.м.Октябрьская);2829;61;19;9431;30,25490196;61,64052288
73;3180;25;3148;126;POINT (37.61947 55.73623);12;ул. Большая Полянка, д.33/41, стр.1;1263;40;23;6328;24,98412698;50,22222222
74;2130;14;2081;151;POINT (37.620381 55.732181);12;ул. Большая Полянка, д.50/1, стр.1;970;47;26;4211;13,78145695;27,88741722
75;8753;56;8616;153;POINT (37.625638 55.740815);12;Климентовский пер., д.23, стр.1 (ст.м.Третьяковская);3951;46;22;17369;56,31372549;113,5228758
76;6744;54;6633;122;POINT (37.628651 55.741485);16;ул. Пятницкая, д.25, стр.1Д;2931;44;22;13377;54,36885246;109,647541
77;2310;14;2188;153;POINT (37.628275 55.737812);10;ул. Пятницкая, д.42;1179;54;23;4498;14,30065359;29,39869281
78;3214;28;3192;113;POINT (37.627651 55.735363);12;ул. Пятницкая, д.48, стр.1;1212;38;24;6406;28,24778761;56,69026549
80;2699;27;2653;99;POINT (37.626464 55.745814);12;ул. Пятницкая, д.2/38;1387;52;13;5352;26,7979798;54,06060606
81;1136;11;1076;98;POINT (37.633294 55.739877);12;ул. Большая Татарская, д.19/13;405;38;22;2212;10,97959184;22,57142857
84;1371;14;1359;98;POINT (37.635113 55.737552);12;ул. Большая Татарская, д.35;348;26;11;2730;13,86734694;27,85714286
85;1117;13;1028;82;POINT (37.645381 55.748229);12;Котельническая наб., д.1;562;55;17;2145;12,53658537;26,15853659
100;15023;98;15040;153;POINT (37.593281 55.735194);40;Зубовский б-р, д.5, стр.3 (ст.м.Парк Культуры);6893;46;25;30063;98,30065359;196,4901961
102;2529;16;2458;152;POINT (37.585594 55.738107);12;Зубовская пл., д.3, стр.1;1274;52;21;4987;16,17105263;32,80921053
103;1167;15;1249;84;POINT (37.584668 55.74049);12;Смоленский б-р, д.3/5;645;52;10;2416;14,86904762;28,76190476
104;3421;24;3597;153;POINT (37.585123 55.742153);12;Смоленский б-р, д.22/14;1363;38;22;7018;23,50980392;45,86928105
106;6097;39;6002;153;POINT (37.583095 55.74913);24;Смоленская пл., д.6;2632;44;19;12099;39,22875817;79,07843137
108;1550;15;1682;113;POINT (37.583633 55.756668);12;Новинский б-р, д.27, стр.2;806;48;18;3232;14,88495575;28,60176991
110;1956;15;2105;144;POINT (37.584637 55.757231);12;Новинский б-р (напротив д.28/35, стр.1А);1064;51;19;4061;14,61805556;28,20138889
