"id";"geom";"address";"is_locked";"station_type";"totalplaces";"rides_per_day"
"490";"POINT (37.6871517 55.7919252)";"ул. Стромынка, д.7, к.4";"False";"Велосипед";"12";
"527";"POINT (37.53773 55.80669)";"ул. Черняховского, д.15/2, к.1";"False";"Велосипед";"15";
"601";"POINT (37.6531291 55.7390591)";"ул. Б. Каменщики, д.2 (ст. м. Таганская (радиальная))";"False";"Велосипед";"15";
"119";"POINT (37.6086074 55.7735332)";"ул. Краснопролетарская (напротив д.2/4, стр.3)";"False";"Велосипед";"12";
"286";"POINT (37.54503 55.6734)";"ул. Гарибальди, д.20/29, к.2";"False";"Велосипед";"12";
"306";"POINT (37.57283 55.69826)";"ул. Вавилова, д.32, стр.1";"False";"Велосипед";"12";
"376";"POINT (37.5820766 55.6450878)";"Балаклавский пр-т, д.34, к.1";"False";"Велосипед";"12";
"507";"POINT (37.5145568 55.7991006)";"ул. Новопесчаная, д.10, стр.1";"False";"Велосипед";"15";
"279";"POINT (37.4960798 55.6946806)";"Мичуринский пр-т, д.31, к.4";"False";"Велосипед";"15";
"338";"POINT (37.5268164 55.6667781)";"ул. Новаторов (пересечение с ул. Воронцовские Пруды)";"True";"Велосипед";"12";
"202";"POINT (37.583821 55.727509)";"Комсомольский пр-т (пересеч. с 1-ой Фрунзенской ул.)";"False";"Велосипед";"12";
"419";"POINT (37.58714 55.78427)";"ул. Бутырский Вал, д.32";"False";"Велосипед";"15";
"543";"POINT (37.705593 55.7819567)";"ул. Б. Семёновская, вл.26 (ст. м. Электрозаводская)";"False";"Велосипед";"24";
"412";"POINT (37.6182931 55.776646)";"ул. Самотечная, д.9";"False";"Велосипед";"12";
"610";"POINT (37.65628 55.735005)";"ул. Б. Каменщики, д.8";"False";"Велосипед";"12";
"532";"POINT (37.56551 55.79306)";"ул. Верхняя Масловка, д.10, стр.4";"False";"Велосипед";"15";
"535";"POINT (37.64668 55.82667)";"пр-т Мира, д.123";"False";"Велосипед";"12";
"72";"POINT (37.645943 55.7364956)";"Космодамианская наб., д.46/50";"False";"Велосипед";"20";
"281";"POINT (37.49097 55.68298)";"ул. Удальцова, д.40А";"False";"Велосипед";"15";
"510";"POINT (37.52036 55.80273)";"Чапаевский пер., д.2";"False";"Велосипед";"15";
"259";"POINT (37.5683739 55.7371931)";"Саввинская наб., д.9";"False";"Велосипед";"21";
"232";"POINT (37.586215 55.7733)";"2-я Брестская ул., д.31";"False";"Велосипед";"12";
"409";"POINT (37.60095 55.77946)";"ул. Новослободская, д.2 (ст. м. Новослободская)";"False";"Велосипед";"24";
"288";"POINT (37.5492 55.66466)";"ул. Профсоюзная, д.55";"False";"Велосипед";"12";
"521";"POINT (37.5455944 55.7950047)";"Ленинградский пр-т, д.44";"False";"Велосипед";"15";
"17";"POINT (37.641671 55.763247)";"Чистопрудный б-р (напротив  д.8, стр.1)";"False";"Велосипед";"8";
"212";"POINT (37.550435 55.727595)";"Хамовнический Вал, д.40, стр.1";"False";"Велосипед";"34";
"28";"POINT (37.6248436 55.7606867)";"ул. Пушечная, д.11";"False";"Велосипед";"12";
"404";"POINT (37.5959992 55.776466)";"ул. Чаянова, д.15";"False";"Велосипед";"12";
"353";"POINT (37.6090521 55.6716545)";"ул. Криворожская, д.33Г";"False";"Велосипед";"12";
"249";"POINT (37.5370538 55.7391344)";"Кутузовский пр-т, д.35/30";"False";"Велосипед";"20";
"398";"POINT (37.6180912 55.6530518)";"Чонгарский б-р, д.1, к.1 (ст. м. Варшавская, выход №2)";"False";"Велосипед";"12";
"255";"POINT (37.55135 55.7612)";"ул. Костикова (2-я Звенигородская ул., д.13, стр.42)";"False";"Велосипед";"24";
"489";"POINT (37.679857 55.789152)";"ст. м. Сокольники";"False";"Велосипед";"24";
"515";"POINT (37.506187 55.776742)";"МЦК Хорошёво";"False";"Велосипед";"27";
"74";"POINT (37.620018 55.73218)";"ул. Большая Полянка, д.50/1, стр.1";"False";"Велосипед";"12";
"225";"POINT (37.5706888 55.7615452)";"ул. Красная Пресня, д.21";"False";"Велосипед";"15";
"138";"POINT (37.6571565 55.7610338)";"ул. Земляной Вал, д.14/16, стр.1";"False";"Велосипед";"18";
"418";"POINT (37.60152 55.78241)";"ул. Сущёвская, д.21, стр.10";"False";"Велосипед";"12";
"83";"POINT (37.6167027 55.7396445)";"ул. Большая Якиманка (напротив д.18)";"False";"Велосипед";"18";
"63";"POINT (37.605304 55.738605)";"Пречистенская наб., д.15, стр.2";"False";"Велосипед";"15";
"333";"POINT (37.5397093 55.6560575)";"ул. Профсоюзная, д.61А (ст. м. Калужская)";"False";"Велосипед";"12";
"45";"POINT (37.596613 55.769393)";"ул. Тверская, д.31/4, стр.2 (ст.м. Маяковская, выход на Тверскую ул.)";"False";"Велосипед";"18";
"484";"POINT (37.5880136 55.8126995)";"ул. Руставели (напротив д.6, к.5)";"False";"Велосипед";"12";
"274";"POINT (37.59906 55.70806)";"5-й Донской пр-д, д.15";"False";"Велосипед";"12";
"540";"POINT (37.7188593 55.7829536)";"ст. м. Семёновская";"False";"Велосипед";"24";
"471";"POINT (37.6095579 55.8218255)";"ул. Академика Королёва, д.12Б";"False";"Велосипед";"12";
"223";"POINT (37.55125 55.755955)";"ул. Мантулинская, д.5, стр.21";"False";"Велосипед";"12";
"526";"POINT (37.528 55.80559)";"ул. Усиевича, д.12-14";"False";"Велосипед";"15";
"352";"POINT (37.530847 55.701597)";"ул. Академика Хохлова (у входа в ГЗ МГУ)";"False";"Велосипед";"36";
"287";"POINT (37.48128 55.66072)";"пр-т Вернадского, д.86Д";"False";"Велосипед";"15";
